standard,nVoip,nBg,seed,srcAddr,dstAddr,protocol,txPkts,rxPkts,lostPkts,lossPct,meanDelayMs,meanJitterMs,throughputKbps
ac,2,3,1,10.1.1.4,10.1.1.1,TCP,15401,15401,0,0,0.0973649,0.0349778,2212.01
ac,2,3,1,10.1.1.5,10.1.1.1,TCP,15404,15404,0,0,0.0887018,0.0295464,2212.44
ac,2,3,1,10.1.1.6,10.1.1.1,TCP,15407,15407,0,0,0.0879327,0.0291547,2212.87
ac,2,3,1,10.1.1.1,10.1.1.5,TCP,7702,7702,0,0,0.234747,0.0668606,106.802
ac,2,3,1,10.1.1.1,10.1.1.6,TCP,7704,7704,0,0,0.231415,0.0631076,106.83
ac,2,3,1,10.1.1.1,10.1.1.4,TCP,7701,7701,0,0,0.231063,0.0624479,106.788
ac,2,3,1,10.1.1.1,10.1.1.2,UDP,1499,1499,0,0,0.48744,0.279677,75.1499
ac,2,3,1,10.1.1.1,10.1.1.3,UDP,1499,1499,0,0,0.589714,0.277884,75.1499
ac,2,3,1,10.1.1.2,10.1.1.1,UDP,1499,1499,0,0,0.540509,0.336784,75.1499
ac,2,3,1,10.1.1.3,10.1.1.1,UDP,1499,1499,0,0,0.535237,0.302193,75.1499
standard,nVoip,nBg,seed,srcAddr,dstAddr,protocol,txPkts,rxPkts,lostPkts,lossPct,meanDelayMs,meanJitterMs,throughputKbps
ac,4,3,1,10.1.1.6,10.1.1.1,TCP,15401,15401,0,0,0.138396,0.0615518,2212.01
ac,4,3,1,10.1.1.7,10.1.1.1,TCP,15401,15401,0,0,0.125294,0.052705,2212.01
ac,4,3,1,10.1.1.8,10.1.1.1,TCP,15410,15410,0,0,0.118033,0.0483048,2213.3
ac,4,3,1,10.1.1.1,10.1.1.8,TCP,7705,7705,0,0,0.24989,0.0874379,106.844
ac,4,3,1,10.1.1.1,10.1.1.7,TCP,7701,7701,0,0,0.258331,0.0932142,106.788
ac,4,3,1,10.1.1.1,10.1.1.6,TCP,7701,7701,0,0,0.255597,0.0912189,106.788
ac,4,3,1,10.1.1.1,10.1.1.2,UDP,1499,1499,0,0,0.672547,0.425668,75.1499
ac,4,3,1,10.1.1.1,10.1.1.3,UDP,1499,1499,0,0,0.779755,0.428813,75.1499
ac,4,3,1,10.1.1.1,10.1.1.4,UDP,1499,1499,0,0,0.879262,0.42425,75.1499
ac,4,3,1,10.1.1.1,10.1.1.5,UDP,1499,1499,0,0,0.985998,0.426922,75.1499
ac,4,3,1,10.1.1.2,10.1.1.1,UDP,1499,1499,0,0,0.912495,0.605732,75.1499
ac,4,3,1,10.1.1.3,10.1.1.1,UDP,1499,1499,0,0,0.934671,0.598925,75.1499
ac,4,3,1,10.1.1.4,10.1.1.1,UDP,1499,1499,0,0,0.926752,0.613299,75.1499
ac,4,3,1,10.1.1.5,10.1.1.1,UDP,1499,1499,0,0,0.921351,0.630271,75.1499
standard,nVoip,nBg,seed,srcAddr,dstAddr,protocol,txPkts,rxPkts,lostPkts,lossPct,meanDelayMs,meanJitterMs,throughputKbps
ac,6,3,1,10.1.1.8,10.1.1.1,TCP,15407,15407,0,0,0.204549,0.104329,2212.87
ac,6,3,1,10.1.1.9,10.1.1.1,TCP,15407,15407,0,0,0.189247,0.0949478,2212.87
ac,6,3,1,10.1.1.10,10.1.1.1,TCP,15404,15404,0,0,0.22793,0.110849,2212.44
ac,6,3,1,10.1.1.1,10.1.1.9,TCP,7704,7704,0,0,0.292315,0.134693,106.83
ac,6,3,1,10.1.1.1,10.1.1.10,TCP,7702,7702,0,0,0.286962,0.139441,106.802
ac,6,3,1,10.1.1.1,10.1.1.8,TCP,7704,7704,0,0,0.290239,0.133342,106.83
ac,6,3,1,10.1.1.1,10.1.1.2,UDP,1499,1499,0,0,0.909975,0.622845,75.1499
ac,6,3,1,10.1.1.1,10.1.1.3,UDP,1499,1499,0,0,1.02401,0.632526,75.1499
ac,6,3,1,10.1.1.1,10.1.1.4,UDP,1499,1499,0,0,1.12918,0.633628,75.1499
ac,6,3,1,10.1.1.1,10.1.1.5,UDP,1499,1499,0,0,1.2354,0.636624,75.1499
ac,6,3,1,10.1.1.1,10.1.1.6,UDP,1499,1499,0,0,1.33784,0.634366,75.1499
ac,6,3,1,10.1.1.1,10.1.1.7,UDP,1499,1452,47,3.13542,3.41992,1.30114,72.7936
ac,6,3,1,10.1.1.2,10.1.1.1,UDP,1499,1499,0,0,1.26458,0.863443,75.1499
ac,6,3,1,10.1.1.3,10.1.1.1,UDP,1499,1499,0,0,1.29271,0.893639,75.1499
ac,6,3,1,10.1.1.4,10.1.1.1,UDP,1499,1499,0,0,1.2753,0.862177,75.1499
ac,6,3,1,10.1.1.5,10.1.1.1,UDP,1499,1499,0,0,1.24677,0.831947,75.1499
ac,6,3,1,10.1.1.6,10.1.1.1,UDP,1499,1499,0,0,1.26119,0.9158,75.1499
ac,6,3,1,10.1.1.7,10.1.1.1,UDP,1499,1499,0,0,1.27852,0.857312,75.1499
standard,nVoip,nBg,seed,srcAddr,dstAddr,protocol,txPkts,rxPkts,lostPkts,lossPct,meanDelayMs,meanJitterMs,throughputKbps
ac,8,3,1,10.1.1.10,10.1.1.1,TCP,15410,15410,0,0,0.419589,0.186296,2213.3
ac,8,3,1,10.1.1.11,10.1.1.1,TCP,15407,15407,0,0,0.285662,0.157633,2212.87
ac,8,3,1,10.1.1.12,10.1.1.1,TCP,15407,15407,0,0,0.26495,0.14475,2212.87
ac,8,3,1,10.1.1.1,10.1.1.10,TCP,7705,7705,0,0,0.353929,0.201314,106.844
ac,8,3,1,10.1.1.1,10.1.1.12,TCP,7704,7704,0,0,0.387447,0.232931,106.83
ac,8,3,1,10.1.1.1,10.1.1.11,TCP,7704,7704,0,0,0.340725,0.188203,106.83
ac,8,3,1,10.1.1.1,10.1.1.2,UDP,1499,1499,0,0,1.09775,0.76689,75.1499
ac,8,3,1,10.1.1.1,10.1.1.3,UDP,1499,1499,0,0,1.19071,0.757954,75.1499
ac,8,3,1,10.1.1.1,10.1.1.4,UDP,1499,1499,0,0,1.3163,0.772638,75.1499
ac,8,3,1,10.1.1.1,10.1.1.5,UDP,1499,1499,0,0,1.40159,0.760772,75.1499
ac,8,3,1,10.1.1.1,10.1.1.6,UDP,1499,1499,0,0,1.50331,0.75842,75.1499
ac,8,3,1,10.1.1.1,10.1.1.7,UDP,1499,1499,0,0,1.62425,0.770516,75.1499
ac,8,3,1,10.1.1.1,10.1.1.8,UDP,1499,1499,0,0,1.7244,0.768555,75.1499
ac,8,3,1,10.1.1.1,10.1.1.9,UDP,1499,1499,0,0,1.81058,0.753631,75.1499
ac,8,3,1,10.1.1.2,10.1.1.1,UDP,1499,1499,0,0,1.70145,1.16148,75.1499
ac,8,3,1,10.1.1.3,10.1.1.1,UDP,1499,1499,0,0,1.66406,1.15112,75.1499
ac,8,3,1,10.1.1.4,10.1.1.1,UDP,1499,1499,0,0,1.66235,1.13473,75.1499
ac,8,3,1,10.1.1.5,10.1.1.1,UDP,1499,1499,0,0,1.70251,1.15922,75.1499
ac,8,3,1,10.1.1.6,10.1.1.1,UDP,1499,1499,0,0,1.66664,1.19497,75.1499
ac,8,3,1,10.1.1.7,10.1.1.1,UDP,1499,1499,0,0,1.70075,1.13188,75.1499
ac,8,3,1,10.1.1.8,10.1.1.1,UDP,1499,1499,0,0,1.66591,1.14196,75.1499
ac,8,3,1,10.1.1.9,10.1.1.1,UDP,1499,1499,0,0,1.69765,1.14761,75.1499
standard,nVoip,nBg,seed,srcAddr,dstAddr,protocol,txPkts,rxPkts,lostPkts,lossPct,meanDelayMs,meanJitterMs,throughputKbps
ac,10,3,1,10.1.1.12,10.1.1.1,TCP,15410,15410,0,0,0.381556,0.220879,2213.3
ac,10,3,1,10.1.1.13,10.1.1.1,TCP,15410,15410,0,0,0.360389,0.205828,2213.3
ac,10,3,1,10.1.1.14,10.1.1.1,TCP,15401,15401,0,0,0.390474,0.226078,2212.01
ac,10,3,1,10.1.1.1,10.1.1.13,TCP,7705,7705,0,0,0.375347,0.23114,106.844
ac,10,3,1,10.1.1.1,10.1.1.12,TCP,7705,7705,0,0,0.382519,0.243145,106.844
ac,10,3,1,10.1.1.1,10.1.1.14,TCP,7701,7701,0,0,0.386037,0.245326,106.788
ac,10,3,1,10.1.1.1,10.1.1.2,UDP,1499,1499,0,0,1.21766,0.93602,75.1499
ac,10,3,1,10.1.1.1,10.1.1.3,UDP,1499,1499,0,0,1.3251,0.940726,75.1499
ac,10,3,1,10.1.1.1,10.1.1.4,UDP,1499,1499,0,0,1.43555,0.942675,75.1499
ac,10,3,1,10.1.1.1,10.1.1.5,UDP,1499,1499,0,0,1.52338,0.931023,75.1499
ac,10,3,1,10.1.1.1,10.1.1.6,UDP,1499,1499,0,0,1.64211,0.941889,75.1499
ac,10,3,1,10.1.1.1,10.1.1.7,UDP,1499,1499,0,0,1.73547,0.93515,75.1499
